_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
751452b0-c740-11e7-a9dd-914287fc516e,1-d456d178744e5087548591d4fb2338d5,WS,Kiryat-Yam,sensorData,json,2017-11-11T16:28:51.419-08:00,5,0.3,5.6,12.87,1,275,27.4,,0.7,,,,,,,,26.9,,,,,,,,61,,,,,,,2017-11-11,16:28:51.419-08:00
7522aa90-c740-11e7-8516-a1b443649ea9,1-447497eeccf2d4bc7ba89fdb5a91ecc1,WS,Kiryat-Bialik,sensorData,json,2017-11-11T16:28:51.513-08:00,18.9,3.8,24.8,37.3,0.9,341,27,79.6,0.2,17,21.3,27,0.1,0,-0.2,0.6,26.5,,30,,,0,,,61,52,31,99,0.42,,,2017-11-11,16:28:51.513-08:00
752828d0-c740-11e7-90b6-a33da586196f,1-e964b5adc7a8533a3cabab3e3d44b59f,WS,Nesher,sensorData,json,2017-11-11T16:28:51.549-08:00,4.5,0.7,5.2,,,,,42,,,13,21,0,0,0,0.1,,,,,,,,0.2,,,,,,,,2017-11-11,16:28:51.549-08:00
7603e2d0-c740-11e7-90b6-81dfcd22b622,1-da5954218cd6510204d8dda2e9d35b21,WS,Old-Market,sensorData,json,2017-11-11T16:28:52.989-08:00,2.6,0,2.5,23.14,1.5,31,24.7,59.8,3.3,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:52.989-08:00
760fc9b0-c740-11e7-8516-a1b443649ea9,1-1964f84caa73d15855cf20206c3bba84,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:28:53.067-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:53.067-08:00
76180710-c740-11e7-8516-a1b443649ea9,1-344f135e2bd6c4725a67d6a9c7079edd,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:28:53.121-08:00,6,0,6,23.57,2.1,324,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:53.121-08:00
761dd370-c740-11e7-8516-a1b443649ea9,1-1410f86c2346b378a52d77a056ee2cf0,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:28:53.159-08:00,5.9,-1.9,3,22.58,2.1,316,23.2,82.8,0,52,13,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:53.159-08:00
7628a8e0-c740-11e7-826b-4378d3375672,1-274357521d2c757b35cf28856d4cd38a,WS,Neve-Shaanan,sensorData,json,2017-11-11T16:28:53.230-08:00,4.9,0,4.8,,2.1,8,,,-0.9,44,,22.1,0,-0.5,-0.07,0,,,,,,,,,,,,,,,,2017-11-11,16:28:53.230-08:00
763504f0-c740-11e7-922d-e592d25dbe09,1-ac7bf87b43d3118cbee612d75f892f57,WS,Daliat-el-Carmel,sensorData,json,2017-11-11T16:28:53.311-08:00,3.2,-0.8,1.9,14.35,2.6,321,,,0.3,,24.2,,-0.2,0,-0.27,,25.7,0,,,,,,,,,,,,,,2017-11-11,16:28:53.311-08:00
763fb350-c740-11e7-a297-b5cc7e104dd1,1-d2623d44aecb929845e5e6b0f2590099,WS,Igud,sensorData,json,2017-11-11T16:28:53.381-08:00,3.9,3.4,9.2,18.21,2.5,295,22.2,70.3,0,19,14.7,27.9,,,,,26.3,,44,13.1,1002,0,14.3,,,,,,,,,2017-11-11,16:28:53.381-08:00
76472d61-c740-11e7-90b6-81dfcd22b622,1-5580ebdb16ba7fd016147319ac457602,WS,Ahuza,sensorData,json,2017-11-11T16:28:53.430-08:00,28.6,4.1,35,,,,25.5,63.5,0.2,14,16.8,30.4,,,,,24.9,,2,13.5,1004,0,,-0.04,,,,,,,,2017-11-11,16:28:53.430-08:00
764c0f60-c740-11e7-ae37-617ddee8b477,1-2036d21d34c33db9e88c1a5ee0d49364,WS,Shprintsak,sensorData,json,2017-11-11T16:28:53.462-08:00,22.2,0.1,22.4,,1.8,0,21.4,66.9,0.3,5,12.7,32.1,,,,,24.8,,39,19.4,983,0,122,0.27,76,,,,,,,2017-11-11,16:28:53.462-08:00
764f43b0-c740-11e7-8516-a1b443649ea9,1-0c6db2144c881cd5e74c14691ceb9846,WS,Kiryat-Motzkin,sensorData,json,2017-11-11T16:28:53.483-08:00,13,0,12,12.56,4.3,326,27.1,79,1.2,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:53.483-08:00
7656bdc0-c740-11e7-ae37-617ddee8b477,1-d703d5050ed5e1b21e02f0ec1b498135,WS,Kiryat-Yam,sensorData,json,2017-11-11T16:28:53.532-08:00,6.9,0.4,7.5,16.56,0.8,279,27,,0.8,,,,,,,,25.9,,,,,,,,60,,,,,,,2017-11-11,16:28:53.532-08:00
766fc400-c740-11e7-a297-b5cc7e104dd1,1-e6a32df8b020d5b00fb7b555f145cd8e,WS,Kiryat-Bialik,sensorData,json,2017-11-11T16:28:53.696-08:00,12,0.7,13.1,32.12,0.9,36,27,84.6,0.1,17,22.1,30,0.1,0,-0.28,0.3,26.1,,30,,,0,,,63,30,14,53,0.33,,,2017-11-11,16:28:53.696-08:00
767c4720-c740-11e7-826b-4378d3375672,1-786ea03c082573b7b2bb69b00e720a36,WS,Nesher,sensorData,json,2017-11-11T16:28:53.778-08:00,4.6,0.4,5,,,,,44,,,10,15,0,0,0,0.1,,,,,,,,0.2,,,,,,,,2017-11-11,16:28:53.778-08:00
77408180-c740-11e7-ae37-617ddee8b477,1-7930c366906be37bfe877ed7d7245bac,WS,Old-Market,sensorData,json,2017-11-11T16:28:55.064-08:00,2.3,0,2.2,22.9,1.2,34,24.6,61.5,3.1,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:55.064-08:00
7744c740-c740-11e7-8516-a1b443649ea9,1-7a12815253613efee226ff5c8ad845ba,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:28:55.092-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:55.092-08:00
